MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of postsynaptic specialization assembly			IEA	E9PT20 ENSRNOP00000044534 	J:342605 	
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1		dendritic spine maintenance	happens in hippocampal neuron		IGI	MGI:99695 	J:193891 	
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1		dendritic spine maintenance	happens in hippocampal neuron		IMP		J:193891 	
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:234334 	
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:234334 	
MGI:87876	Ache	acetylcholinesterase	5		synapse assembly			ISO	RGD:69313 	J:155856 	
MGI:87904	Actb	actin, beta	5		postsynaptic actin cytoskeleton organization			IEA	GO:0098973 	J:346132 	
MGI:87904	Actb	actin, beta	5		postsynaptic actin cytoskeleton organization			ISO	P60709 	J:164563 	
MGI:2137706	Actn1	actinin, alpha 1	12		postsynapse organization			IEA	GO:0099186 	J:346132 	
MGI:109192	Actn2	actinin alpha 2	13		postsynaptic actin cytoskeleton organization			IEA	GO:0098973 	J:346132 	
MGI:1913963	Actr2	actin related protein 2	11		positive regulation of dendritic spine morphogenesis			ISO	RGD:1310826 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of dendritic spine morphogenesis			IEA	ENSRNOP00000071780 Q4V7C7 	J:342605 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of dendritic spine morphogenesis			ISO	RGD:71024 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of synapse assembly			IEA	ENSRNOP00000071780 Q4V7C7 	J:342605 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of synapse assembly			ISO	RGD:71024 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		postsynapse organization			IEA	ENSRNOP00000071780 Q4V7C7 	J:342605 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		postsynapse organization			ISO	RGD:71024 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		postsynaptic actin cytoskeleton organization			IEA	ENSRNOP00000071780 Q4V7C7 	J:342605 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		postsynaptic actin cytoskeleton organization			ISO	RGD:71024 	J:155856 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		EXP		J:263409 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:263409 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of dendritic spine morphogenesis			ISO	RGD:2032 	J:155856 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		EXP		J:326644 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:326644 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IEP		J:326644 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:326644 	
MGI:87919	Add2	adducin 2	6		synapse assembly			IDA		J:174730 	
MGI:87919	Add2	adducin 2	6		synapse assembly			IEP		J:174730 	
MGI:87919	Add2	adducin 2	6		synapse assembly			IMP		J:174730 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		positive regulation of synapse assembly			IDA		J:211830 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		postsynaptic actin cytoskeleton organization			ISO	RGD:1305608 	J:155856 	
MGI:2451244	Adgrb2	adhesion G protein-coupled receptor B2	4		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		maintenance of synapse structure	happens in cerebellum molecular layer		IMP	MGI:5708584 	J:219706 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		regulation of synapse maturation	happens in cerebellar climbing fiber to Purkinje cell synapse		IDA		J:219706 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		regulation of synapse maturation	happens in cerebellar climbing fiber to Purkinje cell synapse		IMP		J:219706 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		regulation of synapse pruning	happens in cerebellar climbing fiber to Purkinje cell synapse		IDA		J:219706 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		regulation of synapse pruning	happens in cerebellar climbing fiber to Purkinje cell synapse		IMP		J:219706 	
MGI:1347095	Adgre5	adhesion G protein-coupled receptor E5	8		positive regulation of synapse assembly			IDA		J:211830 	
MGI:1924846	Adgrf1	adhesion G protein-coupled receptor F1	17		synapse assembly			IBA	MGI:1924846 PTN000245349 	J:161428 	
MGI:1924846	Adgrf1	adhesion G protein-coupled receptor F1	17		synapse assembly	happens in neuron		IMP	MGI:4362398 	J:240496 	
MGI:1929461	Adgrl1	adhesion G protein-coupled receptor L1	8		positive regulation of synapse assembly			IDA		J:211830 	
MGI:1929461	Adgrl1	adhesion G protein-coupled receptor L1	8		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:1929461	Adgrl1	adhesion G protein-coupled receptor L1	8		positive regulation of synapse maturation			ISO	RGD:620768 	J:155856 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		excitatory synapse assembly			IDA		J:246190 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		excitatory synapse assembly			IDA		J:272910 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		synapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:246190 	
MGI:2139714	Adgrl2	adhesion G protein-coupled receptor L2	3		synapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:246190 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		excitatory synapse assembly			IDA		J:272910 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		maintenance of postsynaptic specialization structure	happens in Schaffer collateral - CA1 synapse		IDA		J:272910 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		maintenance of postsynaptic specialization structure	happens in Schaffer collateral - CA1 synapse		IMP		J:272910 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		synapse assembly			IBA	MGI:2441950 PTN008532405 	J:161428 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		synapse assembly	happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse		IDA		J:272910 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		synapse assembly			IMP		J:224730 	
MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5		synapse assembly	happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:272910 	
MGI:2655562	Adgrl4	adhesion G protein-coupled receptor L4	3		positive regulation of synapse assembly			IEA	ARBA00027669 	J:342609 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		positive regulation of synapse assembly			IEA	ENSRNOP00000014595 Q9JKL8 	J:342605 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		positive regulation of synapse assembly			ISO	RGD:71030 	J:155856 	
MGI:1314653	Afdn	afadin, adherens junction formation factor	17		positive regulation of dendritic spine morphogenesis			ISO	RGD:708561 	J:155856 	
MGI:1314653	Afdn	afadin, adherens junction formation factor	17		regulation of postsynapse assembly	happens in hippocampal formation		IDA		J:269298 	
MGI:1314653	Afdn	afadin, adherens junction formation factor	17		regulation of postsynapse assembly	happens in hippocampal formation		IMP		J:269298 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		neuromuscular junction development			IMP	MGI:1856984 	J:106411 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		regulation of synapse maturation			IEA	ENSP00000220592 Q9UKV8 	J:342605 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		regulation of synapse maturation			ISO	Q9UKV8 	J:164563 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IBA	MGI:87961 P31696 PTN000742836 RGD:2067 	J:161428 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IGI	MGI:103581 	J:78399 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IGI	MGI:1339975 	J:78399 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IGI	MGI:94941 	J:78399 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IMP	MGI:1929066 	J:33184 	
MGI:87961	Agrn	agrin	4		neuromuscular junction development			IMP		J:86639 	
MGI:87961	Agrn	agrin	4		positive regulation of skeletal muscle acetylcholine-gated channel clustering			IDA		J:144064 	
MGI:87961	Agrn	agrin	4		positive regulation of skeletal muscle acetylcholine-gated channel clustering			IDA		J:145446 	
MGI:87961	Agrn	agrin	4		positive regulation of skeletal muscle acetylcholine-gated channel clustering			IGI	MGI:103581 	J:33184 	
MGI:87961	Agrn	agrin	4		positive regulation of skeletal muscle acetylcholine-gated channel clustering	positively regulates skeletal muscle acetylcholine-gated channel clustering		IMP		J:86639 	
MGI:87961	Agrn	agrin	4		positive regulation of synaptic assembly at neuromuscular junction			IMP		J:55407 	
MGI:87961	Agrn	agrin	4		regulation of synapse organization			ISO	RGD:2067 	J:155856 	
MGI:87961	Agrn	agrin	4		skeletal muscle acetylcholine-gated channel clustering			ISO	RGD:2067 	J:155856 	
MGI:87961	Agrn	agrin	4		synapse assembly			ISO	RGD:2067 	J:155856 	
MGI:2685104	Akap5	A kinase anchor protein 5	12		synapse assembly			IMP		J:328024 	
MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	1		neuromuscular junction development			IMP	MGI:3612978 	J:104446 	
MGI:2653612	Amigo1	adhesion molecule with Ig like domain 1	3		positive regulation of synapse assembly			IBA	MGI:2145995 MGI:2444854 MGI:2653612 PTN001556128 	J:161428 	
MGI:2653612	Amigo1	adhesion molecule with Ig like domain 1	3		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2145995	Amigo2	adhesion molecule with Ig like domain 2	15		positive regulation of synapse assembly			IBA	MGI:2145995 MGI:2444854 MGI:2653612 PTN001556128 	J:161428 	
MGI:2145995	Amigo2	adhesion molecule with Ig like domain 2	15		positive regulation of synapse assembly			IDA		J:211830 	
MGI:2444854	Amigo3	adhesion molecule with Ig like domain 3	9		positive regulation of synapse assembly			IBA	MGI:2145995 MGI:2444854 MGI:2653612 PTN001556128 	J:161428 	
MGI:2444854	Amigo3	adhesion molecule with Ig like domain 3	9		positive regulation of synapse assembly			IDA		J:211830 	
MGI:108440	Amot	angiomotin	X		regulation of modification of postsynaptic actin cytoskeleton			IEA	A0A0G2JX94 ENSRNOP00000070184 	J:342605 	
MGI:108440	Amot	angiomotin	X		regulation of modification of postsynaptic actin cytoskeleton			IEA	A6KGA0 ENSRNOP00000070184 	J:342605 	
MGI:2139135	Anapc2	anaphase promoting complex subunit 2	2		positive regulation of synapse maturation			IDA		J:172950 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		neuromuscular junction development			ISS	O70511 	J:342587 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		synapse organization			IBA	MGI:88026 PTN007779211 	J:161428 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		synapse organization			IMP	MGI:2179751 	J:93895 	
MGI:107765	Apbb1	amyloid beta precursor protein binding family B member 1	7		synapse organization	happens in neuromuscular junction,happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:263434 	
MGI:107765	Apbb1	amyloid beta precursor protein binding family B member 1	7		synapse organization	happens in neuromuscular junction,happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse		IMP		J:263434 	
MGI:88057	Apoe	apolipoprotein E	7		AMPA glutamate receptor clustering			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		negative regulation of dendritic spine maintenance			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		negative regulation of postsynaptic membrane organization			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		NMDA glutamate receptor clustering			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of dendritic spine maintenance			IEA	ENSP00000252486 P02649 	J:342605 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of dendritic spine maintenance			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of presynaptic membrane organization			ISO	P02649 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		regulation of synapse organization	happens in glutamatergic synapse,happens in cerebral cortex		IDA		J:235715 	
MGI:88057	Apoe	apolipoprotein E	7		regulation of synapse organization	happens in glutamatergic synapse,happens in cerebral cortex		IMP		J:235715 	
MGI:88059	App	amyloid beta precursor protein	16		negative regulation of presynapse assembly			IMP		J:276486 	
MGI:88059	App	amyloid beta precursor protein	16		regulation of dendritic spine maintenance			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		regulation of presynapse assembly			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		synapse organization			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta precursor protein	16		synaptic assembly at neuromuscular junction			IGI	MGI:88047 	J:98108 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		maintenance of synapse structure			IEA	ENSP00000288266 Q9UKG1 	J:342605 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		maintenance of synapse structure			ISO	Q9UKG1 	J:164563 	
MGI:88067	Arc	activity regulated cytoskeletal-associated protein	15		regulation of dendritic spine morphogenesis			ISO	RGD:62037 	J:155856 	
MGI:99431	Arf1	ARF GTPase 1	11		dendritic spine organization			ISO	RGD:621270 	J:155856 	
MGI:99431	Arf1	ARF GTPase 1	11		dendritic spine organization			ISS	P84079 	J:342587 	
MGI:99431	Arf1	ARF GTPase 1	11		postsynaptic actin cytoskeleton organization			ISO	RGD:621270 	J:155856 	
MGI:99433	Arf4	ARF GTPase 4	14		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:192108 	
MGI:99433	Arf4	ARF GTPase 4	14		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:192108 	
MGI:99433	Arf4	ARF GTPase 4	14		regulation of synapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:192108 	
MGI:99433	Arf4	ARF GTPase 4	14		regulation of synapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:192108 	
MGI:99435	Arf6	ARF GTPase 6	12		maintenance of postsynaptic density structure			IEA	ENSRNOP00000079011 P62332 	J:342605 	
MGI:99435	Arf6	ARF GTPase 6	12		maintenance of postsynaptic density structure			ISO	RGD:621279 	J:155856 	
MGI:99435	Arf6	ARF GTPase 6	12		regulation of presynapse assembly			IEA	ENSRNOP00000079011 P62332 	J:342605 	
MGI:99435	Arf6	ARF GTPase 6	12		regulation of presynapse assembly			ISO	RGD:621279 	J:155856 	
MGI:2443418	Arhgap22	Rho GTPase activating protein 22	14		regulation of postsynapse organization			IBA	PTN002689815 Q7Z5H3 	J:161428 	
MGI:2443418	Arhgap22	Rho GTPase activating protein 22	14		regulation of postsynapse organization			IEA	ENSP00000249601 Q7Z5H3 	J:342605 	
MGI:2443418	Arhgap22	Rho GTPase activating protein 22	14		regulation of postsynapse organization			ISO	Q7Z5H3 	J:164563 	
MGI:2673998	Arhgap33	Rho GTPase activating protein 33	7		regulation of dendritic spine morphogenesis			IEA	D4A9G6 ENSRNOP00000033946 	J:342605 	
MGI:2673998	Arhgap33	Rho GTPase activating protein 33	7		regulation of dendritic spine morphogenesis			ISO	RGD:2318374 	J:155856 	
MGI:2673998	Arhgap33	Rho GTPase activating protein 33	7		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:204524 	
MGI:2673998	Arhgap33	Rho GTPase activating protein 33	7		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:204524 	
MGI:107858	Arhgap39	Rho GTPase activating protein 39	15		postsynapse organization			ISO	Q9C0H5 	J:164563 	
MGI:2144423	Arhgap44	Rho GTPase activating protein 44	11		modification of postsynaptic structure	happens in hippocampal formation		IDA		J:198646 	
MGI:2144423	Arhgap44	Rho GTPase activating protein 44	11		regulation of dendritic spine morphogenesis			IBA	MGI:2144423 PTN002680016 	J:161428 	
MGI:2144423	Arhgap44	Rho GTPase activating protein 44	11		regulation of dendritic spine morphogenesis	happens in hippocampal neuron		IMP		J:213034 	
MGI:1860493	Arhgef7	Rho guanine nucleotide exchange factor	8		postsynaptic actin cytoskeleton organization			ISO	RGD:620624 	J:155856 	
MGI:1860493	Arhgef7	Rho guanine nucleotide exchange factor	8		presynaptic actin cytoskeleton organization			ISO	RGD:620624 	J:155856 	
MGI:2442233	Arhgef9	CDC42 guanine nucleotide exchange factor 9	X		regulation of postsynaptic specialization assembly			IBA	MGI:2442233 PTN002911496 	J:161428 	
MGI:2442233	Arhgef9	CDC42 guanine nucleotide exchange factor 9	X		regulation of postsynaptic specialization assembly	happens in GABA-ergic synapse,happens in brain		IDA		J:124926 	
MGI:2442233	Arhgef9	CDC42 guanine nucleotide exchange factor 9	X		regulation of postsynaptic specialization assembly	happens in GABA-ergic synapse,happens in brain		IMP		J:124926 	
MGI:3045246	Arhgef15	Rho guanine nucleotide exchange factor 15	11		negative regulation of synapse maturation			IMP		J:167914 	
MGI:3045246	Arhgef15	Rho guanine nucleotide exchange factor 15	11		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:326507 	
MGI:3045246	Arhgef15	Rho guanine nucleotide exchange factor 15	11		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:326507 	
MGI:1342335	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	15		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:192108 	
MGI:1342335	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	15		regulation of postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:192108 	
MGI:1194915	Asic1	acid-sensing ion channel 1	15		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:115636 	
MGI:1194915	Asic1	acid-sensing ion channel 1	15		regulation of postsynapse assembly	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:115636 	
MGI:1100867	Asic2	acid-sensing ion channel 2	11		positive regulation of synapse assembly	positively regulates synapse assembly		IMP	MGI:2180111 	J:150806 	
MGI:1100867	Asic2	acid-sensing ion channel 2	11		regulation of postsynapse assembly			IDA		J:150806 	
MGI:1100867	Asic2	acid-sensing ion channel 2	11		regulation of postsynapse assembly			IEP		J:150806 	
MGI:1100867	Asic2	acid-sensing ion channel 2	11		regulation of postsynapse assembly			IMP		J:150806 	
MGI:1100867	Asic2	acid-sensing ion channel 2	11		synapse assembly	happens in hippocampus		IMP	MGI:2180111 	J:150806 	
MGI:105368	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	6		synapse organization	happens in cerebellum molecular layer		IMP	MGI:1857092 	J:13355 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		positive regulation of dendritic spine morphogenesis			IEA	ENSRNOP00000005687 Q6GMN2 	J:342605 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		positive regulation of dendritic spine morphogenesis			ISO	RGD:619814 	J:155856 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		regulation of modification of postsynaptic actin cytoskeleton			IEA	ENSRNOP00000005687 Q6GMN2 	J:342605 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		regulation of modification of postsynaptic actin cytoskeleton			ISO	RGD:619814 	J:155856 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		regulation of postsynapse organization			IEA	ENSRNOP00000005687 Q6GMN2 	J:342605 	
MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	11		regulation of postsynapse organization			ISO	RGD:619814 	J:155856 	
MGI:1096385	Bcan	brevican	3		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:256086 	
MGI:1096385	Bcan	brevican	3		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IEP		J:256086 	
MGI:1096385	Bcan	brevican	3		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:256086 	
MGI:88145	Bdnf	brain derived neurotrophic factor	2		positive regulation of synapse assembly			ISO	P23560 	J:164563 	
MGI:88145	Bdnf	brain derived neurotrophic factor	2		synapse assembly			ISO	P23560 	J:164563 	
MGI:1917487	Bhlhb9	basic helix-loop-helix domain containing, class B9	X		positive regulation of dendritic spine morphogenesis	happens in cerebral cortex,happens in hippocampus		IDA		J:205664 	
MGI:1917487	Bhlhb9	basic helix-loop-helix domain containing, class B9	X		positive regulation of synapse assembly	happens in cerebral cortex,happens in hippocampus		IDA		J:205664 	
MGI:1277955	Bsn	bassoon	9		maintenance of presynaptic active zone structure			IEA	GO:0098882 	J:346132 	
MGI:1277955	Bsn	bassoon	9		presynaptic active zone assembly			IBA	PTN000364315 RGD:2223 RGD:69406 	J:161428 	
MGI:1277955	Bsn	bassoon	9		presynaptic active zone assembly			ISO	RGD:2223 	J:155856 	
MGI:1277955	Bsn	bassoon	9		synapse organization			ISO	RGD:2223 	J:155856 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		complement-mediated synapse pruning	is a part of vertebrate eye-specific patterning,is a part of neuron remodeling,happens in dorsal lateral geniculate nucleus		IMP		J:137589 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		synapse organization	happens in hippocampal formation		IGI	CPX-1180 	J:269645 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		synapse pruning	happens in frontal cortex,happens in hippocampal formation		IGI	P14106 Q02105 	J:269645 	
